id,Last Updated,Observation Start,Observation End
BAMLEMRACRPIASIAOAS,2015-07-31 07:22:07-05,1998-12-31,2015-07-30
BAMLEMRACRPIASIASYTW,2015-07-31 07:22:07-05,1998-12-31,2015-07-30
BAMLEMRACRPIASIATRIV,2015-07-31 07:22:06-05,1998-12-31,2015-07-30
BAMLEMRECRPIEMEAEY,2015-07-31 07:22:06-05,1998-12-31,2015-07-30
BAMLEMRECRPIEMEAOAS,2015-07-31 07:22:05-05,1998-12-31,2015-07-30
BAMLEMRECRPIEMEASYTW,2015-07-31 07:22:04-05,1998-12-31,2015-07-30
BAMLEMRECRPIEMEATRIV,2015-07-31 07:22:04-05,1998-12-31,2015-07-30
BAMLEMRLCRPILAEY,2015-07-31 07:22:03-05,1998-12-31,2015-07-30
BAMLEMRLCRPILAOAS,2015-07-31 07:22:03-05,1998-12-31,2015-07-30
BAMLEMRLCRPILASYTW,2015-07-31 07:22:02-05,1998-12-31,2015-07-30
BAMLEMRLCRPILATRIV,2015-07-31 07:22:01-05,1998-12-31,2015-07-30
BAMLEMUBCRPIUSEY,2015-07-31 07:22:01-05,1998-12-31,2015-07-30
BAMLEMUBCRPIUSOAS,2015-07-31 07:22:00-05,1998-12-31,2015-07-30
BAMLEMUBCRPIUSSYTW,2015-07-31 07:22:00-05,1998-12-31,2015-07-30
BAMLEMUBCRPIUSTRIV,2015-07-31 07:21:59-05,1998-12-31,2015-07-30
BAMLEMXOCOLCRPIUSEY,2015-07-31 07:21:58-05,2003-12-31,2015-07-30
BAMLEMXOCOLCRPIUSOAS,2015-07-31 07:21:58-05,2003-12-31,2015-07-30
BAMLEMXOCOLCRPIUSSYTW,2015-07-31 07:21:58-05,2003-12-31,2015-07-30
BAMLEMXOCOLCRPIUSTRIV,2015-07-31 07:21:57-05,2003-12-31,2015-07-30
BAMLH0A0HYM2,2015-07-31 07:21:57-05,1996-12-31,2015-07-30
BAMLH0A0HYM2EY,2015-07-31 07:21:56-05,1996-12-31,2015-07-30
BAMLH0A0HYM2SYTW,2015-07-31 07:21:55-05,1996-12-31,2015-07-30
BAMLH0A1HYBB,2015-07-31 07:21:55-05,1996-12-31,2015-07-30
BAMLH0A1HYBBEY,2015-07-31 07:21:54-05,1996-12-31,2015-07-30
BAMLH0A1HYBBSYTW,2015-07-31 07:21:53-05,1996-12-31,2015-07-30
BAMLH0A2HYB,2015-07-31 07:21:53-05,1996-12-31,2015-07-30
BAMLH0A2HYBEY,2015-07-31 07:21:52-05,1996-12-31,2015-07-30
BAMLH0A2HYBSYTW,2015-07-31 07:21:52-05,1996-12-31,2015-07-30
BAMLH0A3HYC,2015-07-31 07:21:51-05,1996-12-31,2015-07-30
BAMLH0A3HYCEY,2015-07-31 07:21:50-05,1996-12-31,2015-07-30
BAMLH0A3HYCSYTW,2015-07-31 07:21:50-05,1996-12-31,2015-07-30
BAMLHE00EHYIEY,2015-07-31 07:21:49-05,1997-12-31,2015-07-30
BAMLHE00EHYIOAS,2015-07-31 07:21:48-05,1997-12-31,2015-07-30
BAMLHE00EHYISYTW,2015-07-31 07:21:48-05,1997-12-31,2015-07-30
BAMLHE00EHYITRIV,2015-07-31 07:21:47-05,1997-12-31,2015-07-30
BAMLHYH0A0HYM2TRIV,2015-07-31 07:21:47-05,1986-08-31,2015-07-30
BAMLHYH0A1BBTRIV,2015-07-31 07:21:46-05,1996-12-31,2015-07-30
BAMLHYH0A2BTRIV,2015-07-31 07:21:45-05,1996-12-31,2015-07-30
BAMLHYH0A3CMTRIV,2015-07-31 07:21:44-05,1996-12-31,2015-07-30
BBSD678FRBCLE,2015-07-30 13:41:42-05,1991-09-25,2015-07-29
CBSD678FRBCLE,2015-07-30 13:41:44-05,1991-09-25,2015-07-29
CFSI,2015-07-30 13:41:45-05,1991-09-25,2015-07-29
CHF12MD156N,2015-07-31 07:11:02-05,1989-01-03,2015-07-24
CHF1MTD156N,2015-07-31 07:11:03-05,1989-01-03,2015-07-24
CHF1WKD156N,2015-07-31 07:11:04-05,1997-12-01,2015-07-24
CHF2MTD156N,2015-07-31 07:11:04-05,1989-01-03,2015-07-24
CHF3MTD156N,2015-07-31 07:11:05-05,1989-01-03,2015-07-24
CHF6MTD156N,2015-07-31 07:11:06-05,1989-01-03,2015-07-24
CHFONTD156N,2015-07-31 07:11:06-05,2001-01-02,2015-07-24
CISD678FRBCLE,2015-07-30 13:41:50-05,1991-09-25,2015-07-29
CMBSSD678FRBCLE,2015-07-30 13:41:51-05,1991-09-25,2015-07-29
CMRKTSD678FRBCLE,2015-07-30 13:41:52-05,1991-09-25,2015-07-29
CPFF,2015-07-30 15:41:27-05,1997-01-02,2015-07-29
CPTBSD678FRBCLE,2015-07-30 13:41:55-05,1991-09-25,2015-07-29
CRESD678FRBCLE,2015-07-30 13:41:57-05,1991-09-25,2015-07-29
DAAA,2015-07-30 15:26:42-05,1983-01-03,2015-07-29
DBAA,2015-07-30 15:26:43-05,1986-01-02,2015-07-29
DCOILBRENTEU,2015-07-29 13:41:27-05,1987-05-20,2015-07-27
DCOILWTICO,2015-07-29 13:41:28-05,1986-01-02,2015-07-27
DCPF1M,2015-07-30 15:26:43-05,1997-01-02,2015-07-29
DCPF2M,2015-07-30 15:26:44-05,1997-01-02,2015-07-29
DCPF3M,2015-07-30 15:26:45-05,1997-01-02,2015-07-29
DCPN2M,2015-07-30 15:26:45-05,1997-01-02,2015-07-29
DCPN30,2015-07-30 15:26:46-05,1997-01-02,2015-07-29
DCPN3M,2015-07-30 15:26:47-05,1997-01-02,2015-07-29
DDFUELLA,2015-07-29 13:41:28-05,1996-04-17,2015-07-27
DDFUELNYH,2015-07-29 13:41:29-05,2006-06-14,2015-07-27
DDFUELUSGULF,2015-07-29 13:41:29-05,2006-06-14,2015-07-27
DED1,2015-07-30 15:26:48-05,1971-01-04,2015-07-29
DED3,2015-07-30 15:26:50-05,1971-01-04,2015-07-29
DED6,2015-07-30 15:26:52-05,1971-01-04,2015-07-29
DEXBZUS,2015-07-27 15:51:46-05,1995-01-02,2015-07-24
DEXCAUS,2015-07-27 15:51:47-05,1971-01-04,2015-07-24
DEXCHUS,2015-07-27 15:51:48-05,1981-01-02,2015-07-24
DEXDNUS,2015-07-27 15:51:50-05,1971-01-04,2015-07-24
DEXHKUS,2015-07-27 15:51:51-05,1981-01-02,2015-07-24
DEXINUS,2015-07-27 15:51:54-05,1973-01-02,2015-07-24
