Date,Values,Delta Calculations,Delta - Mean(-9.54364046504e-05)
1997-09-09,4.2,-0.009999999999999787,-0.009904563595349386
1997-09-10,4.19,-0.009999999999999787,-0.009904563595349386
1997-09-11,4.17,-0.020000000000000462,-0.01990456359535006
1997-09-12,4.17,0.0,9.54364046504e-05
1997-09-15,4.16,-0.009999999999999787,-0.009904563595349386
1997-09-16,4.23,0.07000000000000028,0.07009543640465069
1997-09-17,4.28,0.04999999999999982,0.05009543640465022
1997-09-18,4.34,0.05999999999999961,0.06009543640465001
1997-09-19,4.41,0.07000000000000028,0.07009543640465069
1997-09-22,4.6,0.1899999999999995,0.1900954364046499
1997-09-23,4.61,0.010000000000000675,0.010095436404651076
1997-09-24,4.64,0.02999999999999936,0.03009543640464976
1997-09-25,4.68,0.040000000000000036,0.040095436404650436
1997-09-26,4.69,0.010000000000000675,0.010095436404651076
1997-09-29,4.7,0.009999999999999787,0.010095436404650188
1997-09-30,4.68,-0.020000000000000462,-0.01990456359535006
1997-10-01,4.7,0.020000000000000462,0.020095436404650863
1997-10-02,4.71,0.009999999999999787,0.010095436404650188
1997-10-03,4.73,0.020000000000000462,0.020095436404650863
1997-10-06,4.78,0.04999999999999982,0.05009543640465022
1997-10-07,4.81,0.02999999999999936,0.03009543640464976
1997-10-08,4.79,-0.019999999999999574,-0.019904563595349173
1997-10-09,4.79,0.0,9.54364046504e-05
1997-10-10,4.78,-0.009999999999999787,-0.009904563595349386
1997-10-14,4.74,-0.040000000000000036,-0.039904563595349635
1997-10-15,4.72,-0.020000000000000462,-0.01990456359535006
1997-10-16,4.67,-0.04999999999999982,-0.04990456359534942
1997-10-17,4.59,-0.08000000000000007,-0.07990456359534967
1997-10-20,4.56,-0.03000000000000025,-0.029904563595349848
1997-10-21,4.54,-0.019999999999999574,-0.019904563595349173
1997-10-22,4.54,0.0,9.54364046504e-05
1997-10-23,4.56,0.019999999999999574,0.020095436404649974
1997-10-24,4.58,0.020000000000000462,0.020095436404650863
1997-10-27,4.65,0.07000000000000028,0.07009543640465069
1997-10-28,4.67,0.019999999999999574,0.020095436404649974
1997-10-29,4.71,0.040000000000000036,0.040095436404650436
1997-10-30,4.78,0.07000000000000028,0.07009543640465069
1997-10-31,4.85,0.0699999999999994,0.0700954364046498
1997-11-03,4.96,0.11000000000000032,0.11009543640465072
1997-11-04,4.95,-0.009999999999999787,-0.009904563595349386
1997-11-05,4.94,-0.009999999999999787,-0.009904563595349386
1997-11-06,4.95,0.009999999999999787,0.010095436404650188
1997-11-07,4.96,0.009999999999999787,0.010095436404650188
1997-11-10,4.93,-0.03000000000000025,-0.029904563595349848
1997-11-12,4.94,0.010000000000000675,0.010095436404651076
1997-11-13,4.95,0.009999999999999787,0.010095436404650188
1997-11-14,4.98,0.03000000000000025,0.03009543640465065
1997-11-17,5.03,0.04999999999999982,0.05009543640465022
1997-11-18,5.04,0.009999999999999787,0.010095436404650188
1997-11-19,5.07,0.03000000000000025,0.03009543640465065
1997-11-20,5.1,0.02999999999999936,0.03009543640464976
1997-11-21,5.11,0.010000000000000675,0.010095436404651076
1997-11-24,5.14,0.02999999999999936,0.03009543640464976
1997-11-25,5.14,0.0,9.54364046504e-05
1997-11-26,5.14,0.0,9.54364046504e-05
1997-11-28,5.16,0.020000000000000462,0.020095436404650863
1997-12-01,5.14,-0.020000000000000462,-0.01990456359535006
1997-12-02,5.15,0.010000000000000675,0.010095436404651076
1997-12-03,5.16,0.009999999999999787,0.010095436404650188
1997-12-04,5.17,0.009999999999999787,0.010095436404650188
1997-12-05,5.16,-0.009999999999999787,-0.009904563595349386
1997-12-08,5.13,-0.03000000000000025,-0.029904563595349848
1997-12-09,5.1,-0.03000000000000025,-0.029904563595349848
1997-12-10,5.09,-0.009999999999999787,-0.009904563595349386
1997-12-11,5.09,0.0,9.54364046504e-05
1997-12-12,5.11,0.020000000000000462,0.020095436404650863
1997-12-15,5.11,0.0,9.54364046504e-05
1997-12-16,5.13,0.019999999999999574,0.020095436404649974
1997-12-17,5.14,0.009999999999999787,0.010095436404650188
1997-12-18,5.18,0.040000000000000036,0.040095436404650436
1997-12-19,5.24,0.0600000000000005,0.0600954364046509
1997-12-22,5.3,0.05999999999999961,0.06009543640465001
1997-12-29,5.37,0.07000000000000028,0.07009543640465069
1997-12-30,5.31,-0.0600000000000005,-0.0599045635953501
1997-12-31,5.31,0.0,9.54364046504e-05
1998-01-02,5.26,-0.04999999999999982,-0.04990456359534942
1998-01-05,5.3,0.040000000000000036,0.040095436404650436
1998-01-06,5.33,0.03000000000000025,0.03009543640465065
1998-01-07,5.33,0.0,9.54364046504e-05
1998-01-08,5.35,0.019999999999999574,0.020095436404649974
1998-01-09,5.39,0.040000000000000036,0.040095436404650436
1998-01-12,5.47,0.08000000000000007,0.08009543640465047
1998-01-13,5.48,0.010000000000000675,0.010095436404651076
1998-01-14,5.48,0.0,9.54364046504e-05
1998-01-15,5.48,0.0,9.54364046504e-05
1998-01-16,5.45,-0.03000000000000025,-0.029904563595349848
1998-01-20,5.43,-0.020000000000000462,-0.01990456359535006
1998-01-21,5.41,-0.019999999999999574,-0.019904563595349173
1998-01-22,5.36,-0.04999999999999982,-0.04990456359534942
1998-01-23,5.26,-0.10000000000000053,-0.09990456359535013
1998-01-26,5.14,-0.1200000000000001,-0.1199045635953497
1998-01-27,5.1,-0.040000000000000036,-0.039904563595349635
1998-01-28,5.08,-0.019999999999999574,-0.019904563595349173
1998-01-29,5.09,0.009999999999999787,0.010095436404650188
1998-01-30,5.08,-0.009999999999999787,-0.009904563595349386
1998-02-02,5.07,-0.009999999999999787,-0.009904563595349386
1998-02-03,5.07,0.0,9.54364046504e-05
1998-02-04,5.07,0.0,9.54364046504e-05
1998-02-05,5.05,-0.020000000000000462,-0.01990456359535006
1998-02-06,5.06,0.009999999999999787,0.010095436404650188
1998-02-09,5.01,-0.04999999999999982,-0.04990456359534942
1998-02-10,5.0,-0.009999999999999787,-0.009904563595349386
1998-02-11,5.01,0.009999999999999787,0.010095436404650188
1998-02-12,5.0,-0.009999999999999787,-0.009904563595349386
1998-02-13,5.0,0.0,9.54364046504e-05
1998-02-17,5.03,0.03000000000000025,0.03009543640465065
1998-02-18,5.04,0.009999999999999787,0.010095436404650188
1998-02-19,5.07,0.03000000000000025,0.03009543640465065
1998-02-20,5.09,0.019999999999999574,0.020095436404649974
1998-02-23,5.07,-0.019999999999999574,-0.019904563595349173
1998-02-24,5.02,-0.05000000000000071,-0.04990456359535031
1998-02-25,5.0,-0.019999999999999574,-0.019904563595349173
1998-02-26,4.98,-0.019999999999999574,-0.019904563595349173
1998-02-27,4.94,-0.040000000000000036,-0.039904563595349635
1998-03-02,4.83,-0.11000000000000032,-0.10990456359534992
1998-03-03,4.79,-0.040000000000000036,-0.039904563595349635
1998-03-04,4.77,-0.020000000000000462,-0.01990456359535006
1998-03-05,4.72,-0.04999999999999982,-0.04990456359534942
1998-03-06,4.7,-0.019999999999999574,-0.019904563595349173
1998-03-09,4.62,-0.08000000000000007,-0.07990456359534967
1998-03-10,4.64,0.019999999999999574,0.020095436404649974
1998-03-11,4.66,0.020000000000000462,0.020095436404650863
1998-03-12,4.7,0.040000000000000036,0.040095436404650436
1998-03-13,4.74,0.040000000000000036,0.040095436404650436
1998-03-16,4.85,0.10999999999999943,0.11009543640464983
1998-03-17,4.86,0.010000000000000675,0.010095436404651076
1998-03-18,4.86,0.0,9.54364046504e-05
1998-03-19,4.87,0.009999999999999787,0.010095436404650188
1998-03-20,4.88,0.009999999999999787,0.010095436404650188
1998-03-23,4.88,0.0,9.54364046504e-05
1998-03-24,4.88,0.0,9.54364046504e-05
1998-03-25,4.86,-0.019999999999999574,-0.019904563595349173
1998-03-26,4.83,-0.03000000000000025,-0.029904563595349848
1998-03-27,4.81,-0.020000000000000462,-0.01990456359535006
1998-03-30,4.75,-0.05999999999999961,-0.05990456359534921
1998-03-31,4.74,-0.009999999999999787,-0.009904563595349386
1998-04-01,4.74,0.0,9.54364046504e-05
1998-04-02,4.74,0.0,9.54364046504e-05
1998-04-03,4.76,0.019999999999999574,0.020095436404649974
1998-04-06,4.81,0.04999999999999982,0.05009543640465022
1998-04-07,4.82,0.010000000000000675,0.010095436404651076
1998-04-08,4.81,-0.010000000000000675,-0.009904563595350274
1998-04-09,4.83,0.020000000000000462,0.020095436404650863
1998-04-14,4.82,-0.009999999999999787,-0.009904563595349386
1998-04-15,4.81,-0.010000000000000675,-0.009904563595350274
1998-04-16,4.79,-0.019999999999999574,-0.019904563595349173
1998-04-17,4.77,-0.020000000000000462,-0.01990456359535006
1998-04-20,4.75,-0.019999999999999574,-0.019904563595349173
1998-04-21,4.72,-0.03000000000000025,-0.029904563595349848
1998-04-22,4.71,-0.009999999999999787,-0.009904563595349386
1998-04-23,4.69,-0.019999999999999574,-0.019904563595349173
1998-04-24,4.68,-0.010000000000000675,-0.009904563595350274
1998-04-27,4.57,-0.10999999999999943,-0.10990456359534903
1998-04-28,4.54,-0.03000000000000025,-0.029904563595349848
