Date,Values,Delta Calculations,Delta - Mean(-4.77383936031e-06)
1982-11-16,1.97,0.11999999999999988,0.12000477383936019
1982-11-17,1.94,-0.030000000000000027,-0.029995226160639717
1982-11-18,1.91,-0.030000000000000027,-0.029995226160639717
1982-11-19,2.04,0.13000000000000012,0.13000477383936043
1982-11-22,2.17,0.1299999999999999,0.1300047738393602
1982-11-23,2.31,0.14000000000000012,0.14000477383936044
1982-11-24,2.39,0.08000000000000007,0.08000477383936037
1982-11-26,2.32,-0.07000000000000028,-0.06999522616063998
1982-11-29,2.24,-0.07999999999999963,-0.07999522616063932
1982-11-30,2.23,-0.010000000000000231,-0.009995226160639921
1982-12-01,2.19,-0.040000000000000036,-0.039995226160639726
1982-12-02,2.36,0.16999999999999993,0.17000477383936025
1982-12-03,2.37,0.010000000000000231,0.010004773839360541
1982-12-06,2.33,-0.040000000000000036,-0.039995226160639726
1982-12-07,2.29,-0.040000000000000036,-0.039995226160639726
1982-12-08,2.38,0.08999999999999986,0.09000477383936016
1982-12-09,2.35,-0.029999999999999805,-0.029995226160639495
1982-12-10,2.35,0.0,4.77383936031e-06
1982-12-13,2.34,-0.010000000000000231,-0.009995226160639921
1982-12-14,2.53,0.18999999999999995,0.19000477383936026
1982-12-15,2.62,0.0900000000000003,0.0900047738393606
1982-12-16,2.49,-0.1299999999999999,-0.12999522616063958
1982-12-17,2.51,0.019999999999999574,0.020004773839359884
1982-12-20,2.56,0.050000000000000266,0.050004773839360576
1982-12-21,2.37,-0.18999999999999995,-0.18999522616063963
1982-12-22,2.35,-0.020000000000000018,-0.019995226160639708
1982-12-23,2.29,-0.06000000000000005,-0.05999522616063974
1982-12-27,2.28,-0.010000000000000231,-0.009995226160639921
1982-12-28,2.11,-0.16999999999999993,-0.1699952261606396
1982-12-29,2.04,-0.06999999999999984,-0.06999522616063954
1982-12-30,2.15,0.10999999999999988,0.11000477383936018
1982-12-31,2.16,0.010000000000000231,0.010004773839360541
1983-01-03,2.15,-0.010000000000000231,-0.009995226160639921
1983-01-04,2.09,-0.06000000000000005,-0.05999522616063974
1983-01-05,2.1,0.010000000000000231,0.010004773839360541
1983-01-06,2.19,0.08999999999999986,0.09000477383936016
1983-01-07,2.34,0.1499999999999999,0.15000477383936023
1983-01-10,2.42,0.08000000000000007,0.08000477383936037
1983-01-11,2.4,-0.020000000000000018,-0.019995226160639708
1983-01-12,2.38,-0.020000000000000018,-0.019995226160639708
1983-01-13,2.35,-0.029999999999999805,-0.029995226160639495
1983-01-14,2.49,0.14000000000000012,0.14000477383936044
1983-01-17,2.43,-0.06000000000000005,-0.05999522616063974
1983-01-18,2.4,-0.03000000000000025,-0.02999522616063994
1983-01-19,2.47,0.07000000000000028,0.07000477383936059
1983-01-20,2.39,-0.08000000000000007,-0.07999522616063977
1983-01-21,2.32,-0.07000000000000028,-0.06999522616063998
1983-01-24,2.33,0.010000000000000231,0.010004773839360541
1983-01-25,2.3,-0.03000000000000025,-0.02999522616063994
1983-01-26,2.33,0.03000000000000025,0.03000477383936056
